WKT,name,prov,date,key
"POINT (-98.355344 27.395134)",Crotalus atrox,gbif,2024/03/30,4607556049
"POINT (-97.38916 27.651058)",Crotalus atrox,gbif,2024/03/31,4607296509
"POINT (-113.008592 31.93962)",Crotalus atrox,gbif,2024/03/30,4607616206
"POINT (-97.336028 27.911706)",Crotalus atrox,gbif,2024/03/15,4606701276
"POINT (-97.479026 26.016782)",Crotalus atrox,gbif,2024/03/26,4607528306
"POINT (-97.849252 27.418019)",Crotalus atrox,gbif,2024/03/11,4607014227
"POINT (-111.550133 33.500136)",Crotalus atrox,gbif,2024/03/27,4607365570
"POINT (-111.264488 33.298352)",Crotalus atrox,gbif,2024/03/27,4607610532
"POINT (-103.74807 26.68655)",Crotalus atrox,gbif,2024/03/12,4607416968
"POINT (-116.312923 33.845986)",Crotalus atrox,gbif,2024/03/23,4607114500
"POINT (-97.602852 30.299287)",Crotalus atrox,gbif,2024/03/01,4607421227
"POINT (-97.435242 30.272135)",Crotalus atrox,gbif,2024/03/12,4847086100
"POINT (-97.514667 30.234497)",Crotalus atrox,gbif,2024/03/12,4847179279
"POINT (-97.578509 30.317555)",Crotalus atrox,gbif,2024/03/12,4847125045
"POINT (-97.549145 30.28852)",Crotalus atrox,gbif,2024/03/12,4846842419
"POINT (-97.58168 30.203085)",Crotalus atrox,gbif,2024/03/12,4847145481
"POINT (-102.125992 30.9973)",Crotalus atrox,gbif,2024/03/30,4846891682
"POINT (-104.017051 29.320322)",Crotalus atrox,gbif,2024/03/30,4846957543
"POINT (-104.271225 29.52155)",Crotalus atrox,gbif,2024/03/23,4847209507
"POINT (-98.491748 27.508836)",Crotalus atrox,gbif,2024/03/21,4846917709
"POINT (-98.314384 27.297544)",Crotalus atrox,gbif,2024/03/21,4846887759
"POINT (-100.584369 30.262531)",Crotalus atrox,gbif,2024/03/10,4847167187
"POINT (-110.78437 32.2434)",Crotalus atrox,gbif,2024/03/10,4851867163
"POINT (-97.476106 31.00452)",Crotalus atrox,gbif,2024/03/30,4853052937
"POINT (-97.44294 27.571912)",Crotalus atrox,gbif,2024/03/30,4852629736
"POINT (-96.058059 28.68718)",Crotalus atrox,gbif,2024/03/06,4852202848
"POINT (-98.811719 30.506207)",Crotalus atrox,gbif,2024/03/20,4852230781
"POINT (-114.496241 33.704591)",Crotalus atrox,gbif,2024/03/23,4855493815
"POINT (-100.537515 32.329432)",Crotalus atrox,gbif,2024/03/31,4872025139
"POINT (-100.968882 32.54173)",Crotalus atrox,gbif,2024/03/26,4872150198
"POINT (-100.091895 25.717199)",Crotalus atrox,gbif,2024/03/11,4875066715
"POINT (-97.478406 26.604016)",Crotalus atrox,gbif,2024/03/27,4891695896
"POINT (-98.831782 26.470347)",Crotalus atrox,gbif,2024/03/01,4908187785
"POINT (-114.566963 33.560768)",Crotalus atrox,gbif,2024/04/01,4607575383
"POINT (-98.52485 29.304228)",Crotalus atrox,gbif,2024/04/01,4607491757
"POINT (-98.411443 29.95596)",Crotalus atrox,gbif,2024/04/01,4606871167
"POINT (-97.766593 30.727429)",Crotalus atrox,gbif,2024/04/02,4606908763
"POINT (-97.388715 27.642155)",Crotalus atrox,gbif,2024/04/02,4606733104
"POINT (-112.802687 31.948134)",Crotalus atrox,gbif,2024/04/03,4607392168
"POINT (-111.198219 32.254124)",Crotalus atrox,gbif,2024/04/03,4606958906
"POINT (-101.023086 32.268167)",Crotalus atrox,gbif,2024/04/01,4607549819
"POINT (-112.046151 33.71475)",Crotalus atrox,gbif,2024/04/03,4607611009
"POINT (-112.046156 33.714725)",Crotalus atrox,gbif,2024/04/03,4607071552
"POINT (-112.501808 33.607558)",Crotalus atrox,gbif,2024/04/04,4607050220
"POINT (-115.378999 33.758263)",Crotalus atrox,gbif,2024/04/04,4607536157
"POINT (-111.788938 33.574337)",Crotalus atrox,gbif,2024/04/04,4607427483
"POINT (-111.756255 33.458145)",Crotalus atrox,gbif,2024/04/04,4607593208
"POINT (-98.879799 32.607437)",Crotalus atrox,gbif,2024/04/03,4606927074
"POINT (-97.690203 30.31055)",Crotalus atrox,gbif,2024/04/04,4607153364
"POINT (-97.431843 30.322532)",Crotalus atrox,gbif,2024/04/04,4607121506
"POINT (-97.786926 30.288379)",Crotalus atrox,gbif,2024/04/04,4607488642
"POINT (-110.728459 32.215497)",Crotalus atrox,gbif,2024/04/05,4607070647
"POINT (-99.094468 26.482635)",Crotalus atrox,gbif,2024/04/01,4607137726
"POINT (-111.950822 33.888078)",Crotalus atrox,gbif,2024/04/05,4607631195
"POINT (-111.497908 32.862412)",Crotalus atrox,gbif,2024/04/05,4606995512
"POINT (-110.92273 32.41965)",Crotalus atrox,gbif,2024/04/05,4607399347
"POINT (-97.203613 31.590947)",Crotalus atrox,gbif,2024/04/05,4607152665
"POINT (-96.484944 34.208156)",Crotalus atrox,gbif,2024/04/05,4607655163
"POINT (-97.606344 30.468298)",Crotalus atrox,gbif,2024/04/05,4607137958
"POINT (-97.401047 31.692592)",Crotalus atrox,gbif,2024/04/05,4607418209
"POINT (-111.576012 33.522205)",Crotalus atrox,gbif,2024/04/06,4607149475
"POINT (-98.998547 29.377709)",Crotalus atrox,gbif,2024/04/06,4607016102
