WKT,name,prov,date,key
"POINT (-112.366951 34.595051)",Crotalus scutulatus,gbif,2024/08/11,4923886404
"POINT (-111.375173 33.076922)",Crotalus scutulatus,gbif,2024/08/10,4923944333
"POINT (-104.284355 30.543787)",Crotalus scutulatus,gbif,2024/08/12,4923900221
"POINT (-111.273842 32.291742)",Crotalus scutulatus,gbif,2024/08/12,4923764867
"POINT (-111.279267 32.291797)",Crotalus scutulatus,gbif,2024/08/12,4924097409
"POINT (-109.716817 32.195253)",Crotalus scutulatus,gbif,2024/08/10,4923880625
"POINT (-109.520367 32.079622)",Crotalus scutulatus,gbif,2024/08/10,4923642329
"POINT (-109.493553 32.052639)",Crotalus scutulatus,gbif,2024/08/10,4923659832
"POINT (-109.489747 32.048811)",Crotalus scutulatus,gbif,2024/08/10,4923880627
"POINT (-109.491439 31.917828)",Crotalus scutulatus,gbif,2024/08/10,4924149238
"POINT (-109.4598 31.982283)",Crotalus scutulatus,gbif,2024/08/10,4923693940
"POINT (-109.491406 31.928022)",Crotalus scutulatus,gbif,2024/08/10,4923611508
"POINT (-109.136246 31.923742)",Crotalus scutulatus,gbif,2024/08/05,4924147974
"POINT (-109.069725 31.883167)",Crotalus scutulatus,gbif,2024/08/06,4923829809
"POINT (-109.069742 31.883133)",Crotalus scutulatus,gbif,2024/08/06,4923900837
"POINT (-109.067399 31.922809)",Crotalus scutulatus,gbif,2024/08/06,4923887453
"POINT (-109.183524 31.983916)",Crotalus scutulatus,gbif,2024/08/06,4923716185
"POINT (-109.092186 31.897095)",Crotalus scutulatus,gbif,2024/08/06,4923846887
"POINT (-109.094964 31.898838)",Crotalus scutulatus,gbif,2024/08/06,4923833496
"POINT (-108.920298 31.956962)",Crotalus scutulatus,gbif,2024/08/12,4926278081
"POINT (-109.041712 31.835086)",Crotalus scutulatus,gbif,2024/08/12,4926362383
"POINT (-109.90334 32.59193)",Crotalus scutulatus,gbif,2024/08/07,4926237429
"POINT (-105.681725 26.228592)",Crotalus scutulatus,gbif,2024/08/13,4925907391
"POINT (-117.929569 35.614337)",Crotalus scutulatus,gbif,2024/08/14,4926142701
"POINT (-109.060524 31.822687)",Crotalus scutulatus,gbif,2024/08/08,4926046730
"POINT (-103.024472 30.504498)",Crotalus scutulatus,gbif,2024/08/01,4926028421
"POINT (-105.476613 32.080466)",Crotalus scutulatus,gbif,2024/08/10,4926286583
"POINT (-109.076575 31.887317)",Crotalus scutulatus,gbif,2024/08/15,4925809819
"POINT (-103.721427 30.464273)",Crotalus scutulatus,gbif,2024/08/16,4926183090
"POINT (-109.156144 31.90458)",Crotalus scutulatus,gbif,2024/08/16,4926176275
"POINT (-111.321197 32.323447)",Crotalus scutulatus,gbif,2024/08/16,4926146585
"POINT (-108.845294 31.839288)",Crotalus scutulatus,gbif,2024/08/16,4926232521
"POINT (-103.163271 30.320691)",Crotalus scutulatus,gbif,2024/08/16,4926056046
"POINT (-109.126121 31.813466)",Crotalus scutulatus,gbif,2024/08/11,4925812328
"POINT (-108.898642 31.907142)",Crotalus scutulatus,gbif,2024/08/11,4926063549
"POINT (-108.895756 31.906818)",Crotalus scutulatus,gbif,2024/08/11,4926310252
"POINT (-109.134105 31.80829)",Crotalus scutulatus,gbif,2024/08/11,4926037905
"POINT (-109.128073 31.957637)",Crotalus scutulatus,gbif,2024/08/11,4925976038
"POINT (-108.812599 32.342444)",Crotalus scutulatus,gbif,2024/08/15,4925832281
"POINT (-113.951007 35.226755)",Crotalus scutulatus,gbif,2024/08/19,4926059709
"POINT (-104.110298 30.479187)",Crotalus scutulatus,gbif,2024/08/17,4925813029
"POINT (-104.068108 30.534783)",Crotalus scutulatus,gbif,2024/08/17,4926135632
"POINT (-110.59375 31.627905)",Crotalus scutulatus,gbif,2024/08/19,4926073702
"POINT (-103.584694 25.902466)",Crotalus scutulatus,gbif,2024/08/20,4926256396
"POINT (-105.707053 26.871835)",Crotalus scutulatus,gbif,2024/08/01,4926090803
"POINT (-105.694179 26.8677)",Crotalus scutulatus,gbif,2024/08/01,4926276136
"POINT (-105.727835 26.878382)",Crotalus scutulatus,gbif,2024/08/02,4926388309
"POINT (-111.27849 32.297734)",Crotalus scutulatus,gbif,2023/01/07,4054869769
"POINT (-111.639574 33.315329)",Crotalus scutulatus,gbif,2023/03/17,4067197120
"POINT (-111.638563 33.314645)",Crotalus scutulatus,gbif,2023/03/17,4067637176
"POINT (-111.638596 33.314605)",Crotalus scutulatus,gbif,2023/03/17,4067160185
"POINT (-114.180237 34.963379)",Crotalus scutulatus,gbif,2023/03/18,4067246231
"POINT (-111.654746 33.233749)",Crotalus scutulatus,gbif,2023/03/17,4067412598
"POINT (-112.827145 32.401545)",Crotalus scutulatus,gbif,2023/03/20,4067503559
"POINT (-103.752172 25.470411)",Crotalus scutulatus,gbif,2023/03/17,4522788915
"POINT (-100.638899 25.007994)",Crotalus scutulatus,gbif,2023/04/01,4076196665
"POINT (-114.847141 35.800682)",Crotalus scutulatus,gbif,2023/04/12,4091424755
"POINT (-110.509558 31.633945)",Crotalus scutulatus,gbif,2023/04/11,4091497784
"POINT (-117.841753 35.028328)",Crotalus scutulatus,gbif,2023/04/12,4091614809
"POINT (-114.975228 35.603053)",Crotalus scutulatus,gbif,2023/04/10,4091669973
"POINT (-117.941012 35.170387)",Crotalus scutulatus,gbif,2023/04/14,4091557039
"POINT (-115.525681 35.147103)",Crotalus scutulatus,gbif,2023/04/15,4091391427
"POINT (-111.292273 32.840719)",Crotalus scutulatus,gbif,2023/04/18,4091940765
"POINT (-117.919866 35.116533)",Crotalus scutulatus,gbif,2023/04/17,4091605714
"POINT (-117.699874 35.288845)",Crotalus scutulatus,gbif,2023/04/17,4096498994
"POINT (-117.887782 35.204684)",Crotalus scutulatus,gbif,2023/04/14,4096781095
"POINT (-118.510355 34.741862)",Crotalus scutulatus,gbif,2023/04/24,4097001700
"POINT (-118.044228 34.602075)",Crotalus scutulatus,gbif,2023/04/24,4103143802
"POINT (-117.555175 35.273425)",Crotalus scutulatus,gbif,2023/04/20,4103303940
"POINT (-118.336106 34.783221)",Crotalus scutulatus,gbif,2023/04/27,4102847013
"POINT (-115.844051 34.098966)",Crotalus scutulatus,gbif,2023/04/27,4103259140
"POINT (-117.973472 34.505445)",Crotalus scutulatus,gbif,2023/04/29,4102746221
"POINT (-118.278326 34.780854)",Crotalus scutulatus,gbif,2023/04/30,4103112476
"POINT (-118.036286 34.793464)",Crotalus scutulatus,gbif,2023/04/30,4103471537
"POINT (-118.353613 34.675315)",Crotalus scutulatus,gbif,2023/04/07,4102949629
"POINT (-109.453684 32.245476)",Crotalus scutulatus,gbif,2023/04/30,4111715809
"POINT (-116.155239 35.231745)",Crotalus scutulatus,gbif,2023/04/29,4111702992
"POINT (-118.251208 34.732983)",Crotalus scutulatus,gbif,2023/04/30,4111799264
"POINT (-118.242961 34.733029)",Crotalus scutulatus,gbif,2023/04/30,4111669251
"POINT (-118.451424 34.777278)",Crotalus scutulatus,gbif,2023/04/27,4111956497
"POINT (-118.316059 34.611939)",Crotalus scutulatus,gbif,2023/04/21,4507719583
"POINT (-118.234607 34.696586)",Crotalus scutulatus,gbif,2023/04/21,4507895526
"POINT (-118.329029 34.640781)",Crotalus scutulatus,gbif,2023/04/21,4507691547
"POINT (-117.79612 35.198989)",Crotalus scutulatus,gbif,2023/04/18,4910846601
"POINT (-117.989933 34.871978)",Crotalus scutulatus,gbif,2023/04/11,4514303378
"POINT (-109.398125 32.035275)",Crotalus scutulatus,gbif,2023/05/01,4111794863
"POINT (-111.264795 32.248187)",Crotalus scutulatus,gbif,2023/05/03,4112104151
"POINT (-103.542764 30.135879)",Crotalus scutulatus,gbif,2023/05/06,4111862086
"POINT (-117.948563 35.608117)",Crotalus scutulatus,gbif,2023/05/01,4111864108
"POINT (-117.182822 35.037228)",Crotalus scutulatus,gbif,2023/05/04,4112169103
"POINT (-118.379119 34.856605)",Crotalus scutulatus,gbif,2023/05/02,4111965285
"POINT (-112.32247 33.366113)",Crotalus scutulatus,gbif,2023/05/07,4111870230
"POINT (-118.32565 34.983566)",Crotalus scutulatus,gbif,2023/05/09,4111848265
"POINT (-116.334503 34.192603)",Crotalus scutulatus,gbif,2023/05/10,4116130109
"POINT (-109.524556 32.094156)",Crotalus scutulatus,gbif,2023/05/12,4116491809
"POINT (-113.962958 37.097553)",Crotalus scutulatus,gbif,2023/05/12,4116307074
"POINT (-117.298988 35.010514)",Crotalus scutulatus,gbif,2023/05/14,4116031217
"POINT (-109.173888 32.052475)",Crotalus scutulatus,gbif,2023/05/14,4116643485
"POINT (-117.920296 35.551247)",Crotalus scutulatus,gbif,2023/05/16,4120837836
"POINT (-111.980792 34.382735)",Crotalus scutulatus,gbif,2023/05/17,4121190841
"POINT (-116.967815 34.973642)",Crotalus scutulatus,gbif,2023/05/16,4121272451
